id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
23,"22 ± 3 nm (average size obtained from XRD, TEM, and AFM studies)",,Range: 0−120 μg/mL. Sublethal concentration: 25 μg/mL. Complete growth inhibitory concentration: 40 μg/mL.,Cadmium,"Synthesis involved methanol, ethylene glycol (100 μL), and NaOH (0.1 M), followed by heating Cd(OH)₂ NPs at 250 °C for 5 h",Non-toxic,22.0,,Classified Data,Cadmium,Non-toxic,CdO nanoparticles (NPs),inorganic,"22 ± 3 nm (average size obtained from XRD, TEM, and AFM studies)","Found to be larger than its actual size based on DLS measurement, likely due to hydrodynamic features; specific numerical value is NA",Mostly spherical nature,NA (DLS showed a relatively monodispersive nature with a geometric standard deviation (GSD) value of 1.19),,NA (Toxicity is linked to higher surface area to volume ratio),"Synthesis involved methanol, ethylene glycol (100 μL), and NaOH (0.1 M), followed by heating Cd(OH)₂ NPs at 250 °C for 5 h",,PBS buffers were used at pH 7.5. SOD activity assay solution was pH 7.8. Peroxidase assay solution was pH 7.0.,37 °C (for bacterial incubation),Range: 0−120 μg/mL. Sublethal concentration: 25 μg/mL. Complete growth inhibitory concentration: 40 μg/mL.,,~50% growth inhibition at 25 μg/mL. Complete growth cessation at 40 μg/mL (0% viability relative to control). Viability declined significantly over 4–5 h exposure time.,,,"Severe damage of the cell surface observed via AFM. Topological changes, including much deeper pores, were observed on the cell surface.","Elevated intracellular oxidative stress, suggested by significantly decreased peroxidase and SOD activities.",,,,"Up to 24 h (for growth inhibitory concentration determination). Other toxicity studies were conducted over various time periods (e.g., 2 h, 4 h, 8 h, and time-dependent measurements).",Escherichia coli (E. coli K-12 MG1655),dx.doi.org/10.1021/la302872y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,38.16 nm (Mean crystallite size via XRD); 56.24 nm (Agglomerated size via SEM),,"20, 40, 60, 80, and 100 µg/ml",Calcium Oxide,"Precursor: Chicken eggshells; FTIR functional groups: -OH, H2O, Ca, CO2, (SO4)2−, (CO3)−",Toxic,38.16,,Classified Data,Calcium Oxide,Toxic,Calcium oxide nanoparticles (CaO NP),inorganic,38.16 nm (Mean crystallite size via XRD); 56.24 nm (Agglomerated size via SEM),,Tiny aggregation; interconnected cluster structures; nanocrystalline,,,,"Precursor: Chicken eggshells; FTIR functional groups: -OH, H2O, Ca, CO2, (SO4)2−, (CO3)−",,,37 °C,"20, 40, 60, 80, and 100 µg/ml",,B16F10: 47.97% – 77.04%; A431: 38.02% – 84.92%; NRK52E: 79.25% – 89.54%,,,,,,B16F10: 87.12 µg/ml; A431: 76.34 µg/ml; NRK52E: Not Evaluable (N.E),,24 hours,B16F10 (skin cancer cell line); A431 (lung cancer cell line); NRK52E (normal kidney cell line),10.1007/s10751-025-02310-y,Measured via MTT assay; O.D. Mean ranges: B16F10: 0.627 – 1.007; A431: 0.497 – 1.110; NRK52E: 1.214 – 1.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NA,,NA (Acellular ROS tested up to 101.3 µg/mL),Carbon (Other),,Toxic,,,Classified Data,Carbon (Other),Toxic,Carbon black (Printex 90),inorganic,NA ,,,,,~300 m2/g,,,, incubation: 37 °C,NA (Acellular ROS tested up to 101.3 µg/mL),NA (Used as bench-mark for comparison),,,,,3448 AU/µg/mL (mass); 1168 AU/cm2/mL (surface area),,,,24 hr,Male mice (referenced in previous studies),https://doi.org/10.1016/j.tox.2023.153428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,< 0.22 μm (mesh size),NA (Negatively charged),0.01–20 mg L⁻¹ (range); 0.4 mg mL⁻¹ (specific test),Carbon (Other),Pristine; Oxygen content ca. 1%,Toxic,0.22,,Classified Data,Carbon (Other),Toxic,Pristine graphitic carbon nitride (g-C3N4),inorganic,< 0.22 μm (mesh size),,"Slate-like, plain, stacked lamellar structure",,NA (Negatively charged),,Pristine; Oxygen content ca. 1%,,7.4,37 °C,0.01–20 mg L⁻¹ (range); 0.4 mg mL⁻¹ (specific test),,~16% (Hemolysis at 0.4 mg mL⁻¹),,,~16% (Hemolysis at 0.4 mg mL⁻¹),0.75–1.64 times increase (total group range),,,,3 hours,Rabbit red blood cells (RBCs),https://doi.org/10.1016/j.enceco.2025.05.025,,Hemolysis rate constant (K): 0.007 min⁻¹; DOPC Adsorption (Qmax): 300-800 μmol/g (group range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,< 0.22 μm (mesh size),NA (Less negative than g-C3N4),0.01–20 mg L⁻¹ (range); 0.4 mg mL⁻¹ (specific test),Carbon (Other),7% HCl hydrothermal treatment; Oxygen content 7%,Toxic,0.22,3.0,Classified Data,Carbon (Other),Toxic,Protonated carbon nitride (p-C3N4-1),inorganic,< 0.22 μm (mesh size),,Rougher surface; break-up of sheets and stacks,,NA (Less negative than g-C3N4),NA (Increased vs g-C3N4),7% HCl hydrothermal treatment; Oxygen content 7%,,7.4,37 °C,0.01–20 mg L⁻¹ (range); 0.4 mg mL⁻¹ (specific test),,~25% (Hemolysis at 0.4 mg mL⁻¹),,,~25% (Hemolysis at 0.4 mg mL⁻¹),0.75–1.64 times increase (total group range),,,,3 hours,Rabbit red blood cells (RBCs),https://doi.org/10.1016/j.enceco.2025.05.025,,Hemolysis rate constant (K): 0.023 min⁻¹; DOPC Adsorption (Qmax): 300-800 μmol/g (group range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,< 0.22 μm (mesh size),NA (Less negative than p-C3N4-1),0.01–20 mg L⁻¹ (range); 0.4 mg mL⁻¹ (specific test),Carbon (Other),14% HCl hydrothermal treatment; Oxygen content 10%,Toxic,0.22,3.0,Classified Data,Carbon (Other),Toxic,Protonated carbon nitride (p-C3N4-2),inorganic,< 0.22 μm (mesh size),,Rougher surface; structural damage/collapse,,NA (Less negative than p-C3N4-1),NA (Reduced vs g-C3N4),14% HCl hydrothermal treatment; Oxygen content 10%,,7.4,37 °C,0.01–20 mg L⁻¹ (range); 0.4 mg mL⁻¹ (specific test),,~38% (Hemolysis at 0.4 mg mL⁻¹),,,~38% (Hemolysis at 0.4 mg mL⁻¹),0.75–1.64 times increase (total group range),,,,3 hours,Rabbit red blood cells (RBCs),https://doi.org/10.1016/j.enceco.2025.05.025,,Hemolysis rate constant (K): 0.012 min⁻¹; DOPC Adsorption (Qmax): 300-800 μmol/g (group range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,< 0.22 μm (mesh size),NA (Least negative/lowest surface charge),0.01–20 mg L⁻¹ (range); 0.4 mg mL⁻¹ (specific test),Carbon (Other),22% HCl hydrothermal treatment; Oxygen content 13%,Toxic,0.22,,Classified Data,Carbon (Other),Toxic,Protonated carbon nitride (p-C3N4-3),inorganic,< 0.22 μm (mesh size),,Rougher surface; structural damage/collapse,,NA (Least negative/lowest surface charge),NA (Reduced vs g-C3N4),22% HCl hydrothermal treatment; Oxygen content 13%,,7.4,37 °C,0.01–20 mg L⁻¹ (range); 0.4 mg mL⁻¹ (specific test),,~54% (Hemolysis at 0.4 mg mL⁻¹),,,~54% (Hemolysis at 0.4 mg mL⁻¹),0.75–1.64 times increase (total group range),,,,3 hours,Rabbit red blood cells (RBCs),https://doi.org/10.1016/j.enceco.2025.05.025,,Hemolysis rate constant (K): 0.010 min⁻¹; DOPC Adsorption (Qmax): 300-800 μmol/g (group range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4–7 nm (main diameter 5.5 nm),-6 mV (at pH 7),5–400 µg/mL,Carbon Dot,Polyethyleneglycol (8% w/w),Toxic,4.0,-6.0,Classified Data,Carbon Dot,Toxic,CDs-PEG,inorganic,4–7 nm (main diameter 5.5 nm),,"Spherical, crystalline",,-6 mV (at pH 7),,Polyethyleneglycol (8% w/w),,7.4,37 °C,5–400 µg/mL,,~25% (at 400 µg/mL),,,,"~2100 RFU (at 400 µg/mL, 24 h)",,300 µg/mL,,24 hours,Mouse fibroblasts (NIH/3T3),10.1016/j.carbon.2015.12.027,,Cell cycle analysis (no abnormalities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4–7 nm (main diameter 5.5 nm),-6 mV (at pH 7),5–400 µg/mL,Carbon Dot,Polyethyleneglycol (8% w/w),Toxic,4.0,-6.0,Classified Data,Carbon Dot,Toxic,CDs-PEG,inorganic,4–7 nm (main diameter 5.5 nm),,"Spherical, crystalline",,-6 mV (at pH 7),,Polyethyleneglycol (8% w/w),,7.4,37 °C,5–400 µg/mL,,~25% (at 400 µg/mL),,,,"~2100 RFU (at 400 µg/mL, 24 h)",,300 µg/mL,,24 hours,Mouse fibroblasts (NIH/3T3),10.1016/j.carbon.2015.12.027,,Cell cycle analysis (no abnormalities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4–7 nm (main diameter 5.5 nm),#ERROR!,5–400 µg/mL,Carbon Dot,Polyethylenimine (10% w/w),Toxic,4.0,,Classified Data,Carbon Dot,Toxic,CDs-PEI,inorganic,4–7 nm (main diameter 5.5 nm),,"Spherical, crystalline",,#ERROR!,,Polyethylenimine (10% w/w),,7.4,37 °C,5–400 µg/mL,,~18% (at 400 µg/mL),,,,"~1850 RFU (at 400 µg/mL, 24 h)",,~50 µg/mL,,24 hours,Mouse fibroblasts (NIH/3T3),10.1016/j.carbon.2015.12.027,,Cell cycle analysis (G0/G1 and G2/M arrest at 50–100 µg/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4–7 nm (main diameter 5.5 nm),#ERROR!,5–400 µg/mL,Carbon Dot,Polyethylenimine (10% w/w),Toxic,4.0,,Classified Data,Carbon Dot,Toxic,CDs-PEI,inorganic,4–7 nm (main diameter 5.5 nm),,"Spherical, crystalline",,#ERROR!,,Polyethylenimine (10% w/w),,7.4,37 °C,5–400 µg/mL,,~18% (at 400 µg/mL),,,,"~1850 RFU (at 400 µg/mL, 24 h)",,~50 µg/mL,,24 hours,Mouse fibroblasts (NIH/3T3),10.1016/j.carbon.2015.12.027,,Cell cycle analysis (G0/G1 and G2/M arrest at 50–100 µg/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4–7 nm (main diameter 5.5 nm),-28 mV (at pH 7),5–400 µg/mL,Carbon Dot,Carboxylic and nitro groups,Toxic,4.0,-28.0,Classified Data,Carbon Dot,Toxic,CDs-Pri,inorganic,4–7 nm (main diameter 5.5 nm),,"Spherical, crystalline",,-28 mV (at pH 7),,Carboxylic and nitro groups,,7.4,37 °C,5–400 µg/mL,,~25% (at 400 µg/mL),,,,"~2150 RFU (at 400 µg/mL, 24 h)",,300 µg/mL,,24 hours,Mouse fibroblasts (NIH/3T3),10.1016/j.carbon.2015.12.027,,Cell cycle analysis (G2/M arrest at 100 µg/mL; G0/G1 arrest at 350 µg/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4–7 nm (main diameter 5.5 nm),-28 mV (at pH 7),5–400 µg/mL,Carbon Dot,Carboxylic and nitro groups,Toxic,4.0,-28.0,Classified Data,Carbon Dot,Toxic,CDs-Pri,inorganic,4–7 nm (main diameter 5.5 nm),,"Spherical, crystalline",,-28 mV (at pH 7),,Carboxylic and nitro groups,,7.4,37 °C,5–400 µg/mL,,~25% (at 400 µg/mL),,,,"~2150 RFU (at 400 µg/mL, 24 h)",,300 µg/mL,,24 hours,Mouse fibroblasts (NIH/3T3),10.1016/j.carbon.2015.12.027,,Cell cycle analysis (G2/M arrest at 100 µg/mL; G0/G1 arrest at 350 µg/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5–8 nm (TEM); 0.5–1.5 nm (AFM),−10.7 mV,"1 mg/kg, 2 mg/kg, 5 mg/kg",Carbon Dot,"Citric acid (carbon source); ethylenediamine (co-reactant); carbon, nitrogen, and oxygen (content)",Toxic,5.0,10.7,Classified Data,Carbon Dot,Toxic,Carbon dots (CDs),inorganic,5–8 nm (TEM); 0.5–1.5 nm (AFM),,spherical s,,−10.7 mV,,"Citric acid (carbon source); ethylenediamine (co-reactant); carbon, nitrogen, and oxygen (content)",,,,,"1 mg/kg, 2 mg/kg, 5 mg/kg",Mortality: 20% (at 5 mg/kg); 6% (at 2 mg/kg); 0% (at 1 mg/kg),,,,,,,,"1 day, 7 days, 28 days (post single exposure)",ICR mice,10.1016/j.cclet.2018.04.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,5–8 nm (TEM); 0.5–1.5 nm (AFM),−10.7 mV,"1 mg/kg, 2 mg/kg, 5 mg/kg",Carbon Dot,"Citric acid (carbon source); ethylenediamine (co-reactant); carbon, nitrogen, and oxygen (content)",Toxic,5.0,10.7,Classified Data,Carbon Dot,Toxic,Carbon dots (CDs),inorganic,5–8 nm (TEM); 0.5–1.5 nm (AFM),,spherical s,,−10.7 mV,,"Citric acid (carbon source); ethylenediamine (co-reactant); carbon, nitrogen, and oxygen (content)",,,,,"1 mg/kg, 2 mg/kg, 5 mg/kg",Mortality: 20% (at 5 mg/kg); 6% (at 2 mg/kg); 0% (at 1 mg/kg),,,,,,,,"1 day, 7 days, 28 days (post single exposure)",ICR mice,10.1016/j.cclet.2018.04.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3 nm (TEM),,"0.2, 0.4, 0.8, 1.6, 3.1, 6.3, 12.5, and 25 mg/ml",Carbon Dot,Citric acid pyrolysis method; neutralised with NaOH,Non-toxic,3.0,,Classified Data,Carbon Dot,Non-toxic,Carbon dots (CDs),inorganic,3 nm (TEM),3.1 ± 0.4 nm,Uniform size distribution,,,,Citric acid pyrolysis method; neutralised with NaOH,,7,30 °C (cultivation); 37 °C (assays),"0.2, 0.4, 0.8, 1.6, 3.1, 6.3, 12.5, and 25 mg/ml",,"76 ± 5% (25 mg/ml, dark); ~46% (25 mg/ml, 60 min light)",,,"NA (Qualitative: cell shrinkage, hole formation, and cell deformation observed)",340 to 560 ROS/mg protein (dose and light-dependent),,,,"16 h (incubation); 0, 15, 30, 45, and 60 min (light exposure)",Yeast (Pichia pastoris),10.1016/j.ecoenv.2018.05.071,Significant dose-dependent decrease; ~70% of control at 25 mg/ml (MTT assay),Quantum yield (QY): measured using quinine sulphite standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,0.05 g l−1,Carbon Dot,"C-Dots decorated to TiO2. Formed through C O and C OH bonds originating from the surfaces of C-Dots and TiO2. Functional groups included C, C O, C O and O H groups.",Non-toxic,,,Classified Data,Carbon Dot,Non-toxic,TiO2/C-Dots composites (5.0 wt%),inorganic,,,Small C-Dots particles are shown bound closely to the surface of TiO2 via TEM images. The composite is a light gray powder.,,,,"C-Dots decorated to TiO2. Formed through C O and C OH bonds originating from the surfaces of C-Dots and TiO2. Functional groups included C, C O, C O and O H groups.", the band gap of TiO2 (3.2 eV) and that the absorption spectrum of the composite is extended from the UV to the visible light region.,7,,0.05 g l−1,,,,,,"High formation rates of •OH and O2− are observed. The average contribution rate of •OH is 83.8%, and O2− is 13.2%. DMPO-•OH and DMPO O2*− adducts were observed via ESR.",Predicted LC50 towards Daphnia for most by-products were lower than Gemfibrozil (GEM). (Specific numerical values for the nanoparticle are NA.),,,"15 min (for V. fischeri), 24 h and 48 h (for D. magna).",Vibrio fischeri (V. fischeri) and Daphnia magna (D. magna).,10.1016/j.apcatb.2016.11.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2–5 nm,,"0.1, 0.5, 1 mg/mL (MC3T3-E1); 0.1 mg/mL (HRBCs)",Carbon Dot,ϵ-Poly(L-lysine) carbon dots,Non-toxic,2.0,,Classified Data,Carbon Dot,Non-toxic,ϵ-Poly(L-lysine) carbon dots-MNPs,inorganic,2–5 nm,,,,,,ϵ-Poly(L-lysine) carbon dots,,,,"0.1, 0.5, 1 mg/mL (MC3T3-E1); 0.1 mg/mL (HRBCs)",,No toxicity observed,,,,,,,,,"Mouse MC3T3-E1 cells, Human red blood cells",10.3390/ijms252212013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,d <102,,0.5 mg (intratracheal),Carbon Nanotube,0.53% Iron,Toxic,102.0,,Classified Data,Carbon Nanotube,Toxic,CarboLex Nanotubes,inorganic,d <102,,Tubular,,,,0.53% Iron,,,37 °C,,0.5 mg (intratracheal),,,,,,,,,7 to 90 days,Mice,,,100% Granuloma incidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Dose-dependent pathways activated,Carbon Nanotube,,Toxic,,,Classified Data,Carbon Nanotube,Toxic,Carbon Nanotubes (CNTs),inorganic,,,Fiber shaped nanostructures,,,,,,,,Dose-dependent pathways activated,,,,,,Could induce ROS generation,,,,,"Multitudes of cell lines; Mesothelial cells, macrophages, lung fibroblasts,; human pneumocytes cells",10.15171/apb.2015.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Diameter: 6–20 nm; Length: 700–4000 nm,,Cumulative dose: 32 or 128 μg (6.4 or 25.6 μg per aspiration once weekly for 5 weeks),Carbon Nanotube,Uncoated,Toxic,6.0,,Classified Data,Carbon Nanotube,Toxic,Multi-walled carbon nanotubes (MWCNTs) (Arkema Graphistrength C100; NM402),inorganic,Diameter: 6–20 nm; Length: 700–4000 nm,,,,,225 m2/g,Uncoated,,,NA (Temperature-controlled environment),,Cumulative dose: 32 or 128 μg (6.4 or 25.6 μg per aspiration once weekly for 5 weeks),,NA (CNTs cleared poorly; 37%-81.2% retention cited),,,"GSSG/GSH ratio increase: 172.8% (T1, Bmal1+/+) and 133.1% (T1, Bmal1−/− )",,,,5 weeks (once-weekly dosing) followed by 24 hours (T1) or 8 weeks (T2) recovery,Female Bmal1−/− and Bmal1+/+ mice (C57BL/6 J),10.1186/s12989-014-0061-5,,"Total BAL cells doubled (p=0.001); Prothrombin time (PT) decreased to 91.4% (T1, WT); Fibrinogen increased to 125.5% (T1, Bmal1−/− )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"38 nm (average diameter of tubes),.",,"0, 5, 10, 15, and 20 mg/l,,.",Carbon Nanotube,95% purity; produced by chemical vapor deposition.,Non-toxic,38.0,,Classified Data,Carbon Nanotube,Non-toxic,"Multi-walled carbon nanotubes (MWCNTs),,.",inorganic,"38 nm (average diameter of tubes),.",,"Long tubes structures,,,.",,,,95% purity; produced by chemical vapor deposition.,,7–7.6.,28 ± 1 °C.,,"0, 5, 10, 15, and 20 mg/l,,.","Survival rate: Control (93.3%); 5 mg/l (88.3%); 10 mg/l (85%); 15 mg/l (63.3%); 20 mg/l (45%),,.",,"NA (Qualitative observations of necrosis reported in gills and liver at 15 and 20 mg/l),,,.",NA (Mentioned as penetration through cellular lipid bilayer resulting in oxidative stress).,"SOD activity in liver 
 Control – ~34 ±3
 5 mg L⁻¹ MWCNTs – ~46 ±4
 10 mg L⁻¹ MWCNTs – ~49 ±3
 15 mg L⁻¹ MWCNTs – ~70±7 
 20 mg L⁻¹ MWCNTs – ~74 ±5
 SOD activity of gills.
 Control – ~25 ±3
 5 mg L⁻¹ MWCNTs – ~70 ±5
 10 mg L⁻¹ MWCNTs – ~73 ±8
 15 mg L⁻¹ MWCNTs – ~67 ±7
 20 mg L⁻¹ MWCNTs – ~75 ±5",,,,"28 days,.","Common carp (Cyprinus carpio L. 1758),,.",10.1016/j.cbpc.2020.108832.,NA (Stated as increased to maintenance under stress).,"Weight Gain (WG%): 83.3 ± 2.6% (control) to 58.3 ± 2.5% (20 mg/l); Specific Growth Rate (SGR%): 2.18 ± 0.15% (control) to 1.64 ± 0.18% (20 mg/l); Cortisol: 78 ng/ml (at 20 mg/l); Glucose: 139 mg/dl (at 20 mg/l); White Blood Cell (WBC) count: 28.22 ± 2.11 to 41.62 ± 1.17 (×103/μl); Red Blood Cell (RBC) count: 1.41 ± 0.05 to 1.26 ± 0.03 (×106/μl),,,,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
